dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,FlowState-r1.1,41.18631665492575,41.18631665492575,3.5313914894442564,3.5313914894442564,0.5585164871955189,0.0924224082715002,0.07574458536840936,7.1386863681154065,6.417656632675649,0.1100486425372225,0.06055556754191994,0.04832590599299439,Transport,1
loop_seattle/5T/medium,FlowState-r1.1,63.29747640981763,63.29747640981763,4.61263058279567,4.61263058279567,0.7340415633852784,0.14249896623770889,0.10689076798619132,9.918247739475596,7.95597111670333,0.14155307452772617,0.0820681763517885,0.06564512744241545,Transport,1
loop_seattle/5T/long,FlowState-r1.1,74.92596474207373,74.92596474207373,4.954258121560027,4.954258121560027,0.7847423188554609,0.1481291061382121,0.11335350154723177,11.117572501835635,8.655978554852926,0.15303948074296336,0.08759230231284211,0.07047262089836084,Transport,1
loop_seattle/D/short,FlowState-r1.1,19.202562320736785,19.202562320736785,2.928832532254781,2.928832532254781,0.8852385524728139,0.05418352716601424,0.05413354100088586,17.37128648415423,4.382072833801007,0.07831349537191128,0.052342149858993804,0.04399730354473092,Transport,1
loop_seattle/H/short,FlowState-r1.1,59.50151512374327,59.50151512374327,4.101224705045146,4.101224705045146,0.8354556467000297,0.1093292313444123,0.09460305469932616,11.792800639073072,7.71372252053075,0.13654073297773034,0.07259584796352124,0.05860784400416869,Transport,1
loop_seattle/H/medium,FlowState-r1.1,70.48822588374371,70.48822588374371,4.540771216676946,4.540771216676946,0.9338664808678643,0.11269175054119099,0.10353630782403936,12.937869517595587,8.395726644177007,0.14839353117576465,0.0802576243440828,0.06472378046382879,Transport,1
loop_seattle/H/long,FlowState-r1.1,58.680955620323786,58.680955620323786,4.1843423114431495,4.1843423114431495,0.881609157316706,0.12109606066724464,0.09702981696901429,11.126577538744572,7.660349575595346,0.13690067899513877,0.07477978621362534,0.0598261300450432,Transport,1
m_dense/D/short,FlowState-r1.1,9165.257708333333,9165.257708333333,46.75142975983796,46.75142975983796,0.7080525556385575,0.13111976414278226,0.10177948704472295,12.484336659406704,95.73535244795066,0.16573205620105474,0.08093364035662448,0.06745370604949491,Transport,1
m_dense/H/short,FlowState-r1.1,45357.06244249132,45357.06244249132,88.8164010281033,88.8164010281033,0.7908603854810199,0.29801525639719595,0.2108831982369297,15.716386667864725,212.97197572096502,0.37775925324817894,0.15753817944820003,0.13254244564706233,Transport,1
m_dense/H/medium,FlowState-r1.1,37333.612291666665,37333.612291666665,80.65108723958333,80.65108723958333,0.7013222843424145,0.26109505457277044,0.19177552964952257,12.237213634057158,193.21907848777943,0.3361767973557966,0.14032270738306465,0.116484184339851,Transport,1
m_dense/H/long,FlowState-r1.1,33911.18148148148,33911.18148148148,79.69908950617284,79.69908950617284,0.6990924490177047,0.25759383242079864,0.19106638025354455,11.008171994373534,184.14988862739364,0.3187907050673161,0.137970916660747,0.11356870870963892,Transport,1
sz_taxi/15T/short,FlowState-r1.1,16.620113698845234,16.620113698845234,2.7355782388913035,2.7355782388913035,0.5464031171222989,1087704810534.7782,0.39686791465978194,7.590175889379568,4.0767773668481375,0.38119613414755593,0.2557882747788491,0.20405979696838894,Transport,1
sz_taxi/15T/medium,FlowState-r1.1,16.319562237079328,16.319562237079328,2.7636555859166334,2.7636555859166334,0.5385217982835804,9333318291956.139,0.40757947742429557,7.388613518681938,4.039747793746452,0.3759659580219572,0.25720427933900225,0.20562579105609002,Transport,1
sz_taxi/15T/long,FlowState-r1.1,15.67457285823985,15.67457285823985,2.735411571709179,2.735411571709179,0.5158517998320638,5970907624088.145,0.4060595259707198,6.402822780595488,3.9591126352049963,0.36644839656489564,0.253184811031775,0.20062083656449903,Transport,1
sz_taxi/H/short,FlowState-r1.1,7.432201711540548,7.432201711540548,1.900836227286575,1.900836227286575,0.5801890213933354,1.3546589297107143,0.30318191723945814,7.291773597003335,2.7262064689858962,0.2539629568572672,0.1770746252255366,0.14077263642438345,Transport,1
bitbrains_fast_storage/5T/short,FlowState-r1.1,1976861.612706536,1976861.612706536,167.4826576990746,167.4826576990746,0.7519912197587632,2.2339818168864483,0.6668860623658195,16.873362129733305,1406.0091083298628,4.414520862588936,0.5258541229598823,0.4061369341649599,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,FlowState-r1.1,3028042.7402493255,3028042.7402493255,293.7332585337577,293.7332585337577,1.045613905514075,4.431932811361121,0.7435921984303433,25.177973240934428,1740.1272195587671,5.2869871149162195,0.8924427683420221,0.6566134834043376,Web/CloudOps,2
bitbrains_fast_storage/5T/long,FlowState-r1.1,4617118.666467717,4617118.666467717,404.63246794619585,404.63246794619585,0.9590761896289091,4.779574306200461,0.7558024375698824,20.584272408017313,2148.7481626444073,5.678499841220382,1.0693228014945033,0.7406708163367473,Web/CloudOps,2
bitbrains_fast_storage/H/short,FlowState-r1.1,3312387.107490891,3312387.107490891,342.97028445108265,342.97028445108265,1.0820700147909392,3.969181289200646,0.484934175936071,23.128998802987564,1819.9964580984467,5.187581059423924,0.9775767110132656,0.6996050717085824,Web/CloudOps,2
bitbrains_rnd/5T/short,FlowState-r1.1,1681179.2138263306,1681179.2138263306,125.49460379907278,125.49460379907278,1.7681451504562586,1.1160088371764871,0.575984034574635,58.96794258096454,1296.602951495303,5.305324992517941,0.5134876927385813,0.422501174777909,Web/CloudOps,2
bitbrains_rnd/5T/medium,FlowState-r1.1,2285917.636175524,2285917.636175524,150.01609405881368,150.01609405881368,4.475115798948466,0.5603419467449297,0.6458122348889342,166.03007290649845,1511.9251423848748,6.361439808223015,0.6311941814225975,0.6231177815796237,Web/CloudOps,2
bitbrains_rnd/5T/long,FlowState-r1.1,2351187.6310941125,2351187.6310941125,178.95946986407603,178.95946986407603,3.4129345721695743,1.8509179005254237,0.6165357994238756,121.92821155502831,1533.3582852986815,5.87395018000862,0.6855534158590824,0.627068224219766,Web/CloudOps,2
bitbrains_rnd/H/short,FlowState-r1.1,1966932.091537609,1966932.091537609,158.2553058756134,158.2553058756134,5.868490186601384,1.5189840510272619,0.4709583415088658,220.67158925254097,1402.473561796303,6.137910603446953,0.6926026603607015,0.6419735300133448,Web/CloudOps,2
bizitobs_application/10S/short,FlowState-r1.1,500666.25333333336,500666.25333333336,372.10096571180554,372.10096571180554,1.1823625169483314,0.016823274824354383,0.01695952468448215,20.97155737936136,707.577736600957,0.027288446639498865,0.014350447762970033,0.011755689383340543,Web/CloudOps,2
bizitobs_application/10S/medium,FlowState-r1.1,3935967.1466666665,3935967.1466666665,1093.320625,1093.320625,2.3676547555327216,0.03411839485168457,0.0348132578531901,64.83349684614342,1983.927202965539,0.07790298221381144,0.04293148310888284,0.03895132702591145,Web/CloudOps,2
bizitobs_application/10S/long,FlowState-r1.1,6119067.306666667,6119067.306666667,1497.1277777777777,1497.1277777777777,3.216036669297102,0.04633814493815104,0.04741866217719184,95.45157875719431,2473.674858720658,0.09539975173986631,0.05773823419813738,0.05333611330028972,Web/CloudOps,2
bizitobs_l2c/5T/short,FlowState-r1.1,19.885550231025334,19.885550231025334,2.7026234399704707,2.7026234399704707,0.276430121944435,0.14285877266744829,0.1902939099432862,3.5472860599123264,4.459321723202457,0.15315115259634096,0.09281902507992103,0.07396516958850098,Web/CloudOps,7
bizitobs_l2c/5T/medium,FlowState-r1.1,53.191010310374146,53.191010310374146,4.453667299439307,4.453667299439307,0.4470985778463834,0.32591378373837027,0.43945305473916607,5.292615331439768,7.2932167327163775,0.38373046495036595,0.23432840215507506,0.18430884138915696,Web/CloudOps,7
bizitobs_l2c/5T/long,FlowState-r1.1,49.95102740575397,49.95102740575397,4.214128340463789,4.214128340463789,0.42011206020231284,0.3312073844203662,0.5385287930608905,4.635159047287204,7.067604078169205,0.3968354029021234,0.23661700618385545,0.18553585102949338,Web/CloudOps,7
bizitobs_l2c/H/short,FlowState-r1.1,50.07088022383432,50.07088022383432,4.286062694731212,4.286062694731212,0.42650556524094235,0.3814869247180381,0.5247374697670417,4.75810589710833,7.0760780255614995,0.381418747645028,0.23102976810699172,0.1803095237048081,Web/CloudOps,7
bizitobs_l2c/H/medium,FlowState-r1.1,65.80172991071429,65.80172991071429,4.498783365885417,4.498783365885417,0.45699914387985396,0.4527186809383691,0.5840262827972638,5.5938648215563616,8.111826545896694,0.4911834185110209,0.27240816606389223,0.21507537775708097,Web/CloudOps,7
bizitobs_l2c/H/long,FlowState-r1.1,75.38985615079365,75.38985615079365,4.987205481150793,4.987205481150793,0.5384132586346023,0.6017732506175247,0.6503577405360634,8.8745103938435,8.682733218911753,0.530366404922417,0.30463290475010524,0.2476359444838448,Web/CloudOps,7
bizitobs_service/10S/short,FlowState-r1.1,3317.9713483782166,3317.9713483782166,19.666672522126053,19.666672522126053,0.7618789966532473,0.06100102321023033,0.048019160027541814,12.137484066395194,57.601834592122295,0.0426732813260109,0.014569699996985671,0.011750894008903083,Web/CloudOps,2
bizitobs_service/10S/medium,FlowState-r1.1,50150.591594742065,50150.591594742065,49.034828210255455,49.034828210255455,1.0852290148445844,0.07175583915104941,0.06815943975297231,19.99207193622117,223.94327762793432,0.16854498012543406,0.03690476549996101,0.03089093635655254,Web/CloudOps,2
bizitobs_service/10S/long,FlowState-r1.1,129285.9797883598,129285.9797883598,77.02262359457671,77.02262359457671,1.344908114283321,0.08371802274512236,0.0838547269629423,30.38519638750258,359.56359630579925,0.2663762227644862,0.05706082526520561,0.0530009267095947,Web/CloudOps,2
car_parts/M/short,FlowState-r1.1,1.4856415840358994,1.4856415840358994,0.4481034558164942,0.4481034558164942,0.8372151288965608,0.8769938348475738,1.8817615337004137,21.63020858024475,1.2188689773867818,2.9227227756579506,1.0745061203984554,0.9378051838705077,Sales,1
covid_deaths/D/short,FlowState-r1.1,430168.97855135886,430168.97855135886,104.5614619434328,104.5614619434328,34.05063977408983,0.09260296089109638,0.1326858238616121,915.2672393419839,655.8726847120246,0.24677527783105752,0.03934175705585549,0.033454791500207165,Healthcare,1
electricity/15T/short,FlowState-r1.1,141113.07029197094,141113.07029197094,53.85753833573144,53.85753833573144,1.032094945860029,0.1720920030335683,0.158048031749295,18.846808710858166,375.6501967149371,0.7404805986749748,0.10616382629040971,0.08908891969322026,Energy,1
electricity/15T/medium,FlowState-r1.1,249810.31007338667,249810.31007338667,53.64487963626621,53.64487963626621,0.8294280868833853,0.12422209056386399,0.12399649101777002,11.156120735340924,499.810274077461,0.8612234235569413,0.09243552862517805,0.07431042920154046,Energy,1
electricity/15T/long,FlowState-r1.1,300442.04575821967,300442.04575821967,58.12667236208987,58.12667236208987,0.8798687887631998,0.12945158170611068,0.12530573691716795,11.37083631209657,548.1259396874223,0.8647358723163199,0.09170195221656668,0.07317596576603264,Energy,1
electricity/D/short,FlowState-r1.1,1208854381.3754954,1208854381.3754954,4249.771407657658,4249.771407657658,1.4243974716455194,0.36926631643707913,0.09978502848201326,20.625049273470584,34768.583252348595,0.5713633055316376,0.0698378597025261,0.05561432124729894,Energy,1
electricity/H/short,FlowState-r1.1,1613915.3673808323,1613915.3673808323,174.46095134477358,174.46095134477358,0.9619028196498475,0.183780782831857,0.11713235586192641,16.742957322111057,1270.3996880434254,0.5997193771253657,0.08235802799536732,0.06814279119523865,Energy,1
electricity/H/medium,FlowState-r1.1,5808216.924979061,5808216.924979061,240.25960720577754,240.25960720577754,1.0733431319975204,0.22825562854870293,0.12026463458328647,15.781710098518042,2410.024258172324,0.9407118836534168,0.09378124178375646,0.0756033463338115,Energy,1
electricity/H/long,FlowState-r1.1,8956605.67370777,8956605.67370777,275.1706645434497,275.1706645434497,1.1953276268295878,0.3050557565978495,0.132755564606184,17.914241508835946,2992.758873298644,1.180343267092205,0.10852723354793894,0.08786070653593353,Energy,1
electricity/W/short,FlowState-r1.1,36078963230.25586,36078963230.25586,25494.158621903152,25494.158621903152,1.3594268430357415,0.20350993436779727,0.09040927497653274,20.266511487896995,189944.63201221524,0.43339097243819963,0.058169257428289774,0.04631378270512843,Energy,1
ett1/15T/short,FlowState-r1.1,4.656153322401501,4.656153322401501,1.0622073059990293,1.0622073059990293,0.6766890014504159,0.4598139387429506,0.2314501444498698,7.961049498743763,2.1578121610560776,0.4079163149073156,0.20080139400024954,0.15827797794511383,Energy,7
ett1/15T/medium,FlowState-r1.1,8.89330315968347,8.89330315968347,1.5627029951791915,1.5627029951791915,0.9899752461852758,0.7306958562600337,0.38553465101453993,10.358971100581922,2.982164173831392,0.5684034065381015,0.29785271839207844,0.23021491376994435,Energy,7
ett1/15T/long,FlowState-r1.1,8.130042840866816,8.130042840866816,1.5652777390252977,1.5652777390252977,1.0145398677902764,0.7679734756468817,0.39474683246915304,10.028280214822347,2.8513229983407378,0.543464966651646,0.2983434759004775,0.22842927100955762,Energy,7
ett1/D/short,FlowState-r1.1,42483.40793650794,42483.40793650794,134.5613777281746,134.5613777281746,1.581535388586393,1.630994385007828,0.46574381268213666,19.71956304105528,206.11503568761773,0.5413679781391109,0.35342992204955054,0.2771837936830846,Energy,7
ett1/H/short,FlowState-r1.1,106.3021133786156,106.3021133786156,4.993795285906111,4.993795285906111,0.8244809076861775,0.49539737247285387,0.258320867447626,10.146414504419937,10.310291624324483,0.4812235010494161,0.23308086119874988,0.181706814247171,Energy,7
ett1/H/medium,FlowState-r1.1,139.02376534598216,139.02376534598216,6.8204275948660715,6.8204275948660715,1.2648960406205094,2760500344873.384,0.44136278061639694,15.817099356337005,11.790833954643842,0.5647530592501833,0.3266823504098217,0.25543631892563273,Energy,7
ett1/H/long,FlowState-r1.1,154.54894386574074,154.54894386574074,7.164622085813492,7.164622085813492,1.3670575458208438,2378460364492.3257,0.47707191749855327,16.393400912726182,12.431771549772813,0.5953305994401435,0.34309822570600446,0.26805497941370754,Energy,7
ett1/W/short,FlowState-r1.1,1075680.0,1075680.0,771.2861328125,771.2861328125,1.3643363010023326,0.5668923514229911,0.5037649699619838,14.536345828009663,1037.1499409439311,0.41270671593599034,0.30691316110987005,0.23742146321787652,Energy,7
ett2/15T/short,FlowState-r1.1,7.304920473552886,7.304920473552886,1.6587105387733097,1.6587105387733097,0.725191432710606,0.10680937565710347,0.125530667532058,10.481100255821858,2.702761638316055,0.12830971479477007,0.07874489305304956,0.06335551758223466,Energy,7
ett2/15T/medium,FlowState-r1.1,11.586610000852554,11.586610000852554,2.1286878894624257,2.1286878894624257,0.8735594682799485,0.1340193696868576,0.15848787580217633,10.70772645226366,3.4039109860354095,0.18140057047902014,0.1134416261484014,0.0899161296351619,Energy,7
ett2/15T/long,FlowState-r1.1,11.234950823102679,11.234950823102679,2.135616706969246,2.135616706969246,0.8812962652946466,0.13562774243052372,0.16070971231611947,11.09320254219016,3.351857816659692,0.1786265614989045,0.11381087441999353,0.09115107804358559,Energy,7
ett2/D/short,FlowState-r1.1,140633.44603174602,140633.44603174602,224.67652219742064,224.67652219742064,1.4766893919320996,0.4055099366203187,0.15303484598795572,14.408425559750553,375.011261206575,0.21462882694062074,0.12858829424262969,0.10328619732668874,Energy,7
ett2/H/short,FlowState-r1.1,102.00043647402809,102.00043647402809,6.215718950544085,6.215718950544085,0.7153557065546415,0.11585144904957281,0.10676509766351609,9.31099124124636,10.099526547023286,0.12809008954597403,0.07883260599007601,0.06331160459119221,Energy,7
ett2/H/medium,FlowState-r1.1,246.4487537202381,246.4487537202381,9.741715204148065,9.741715204148065,1.0343091666071846,0.17109220222949373,0.167119870867048,13.207667592066016,15.69868636925517,0.21154988101620983,0.13127586881201597,0.10598055052874122,Energy,7
ett2/H/long,FlowState-r1.1,282.89351851851853,282.89351851851853,10.30222232556217,10.30222232556217,1.0936991912522707,0.1843426839589738,0.1781482393779452,13.223136510848828,16.819438709972413,0.23032927445605814,0.1410810095657247,0.11317765420760437,Energy,7
ett2/W/short,FlowState-r1.1,4708938.857142857,4708938.857142857,1478.9453125,1478.9453125,0.9147873844250943,0.1429311547960554,0.16028210094996861,8.131814176064013,2170.0089532402526,0.18203048291198762,0.1240608381052101,0.09609149321916526,Energy,7
hierarchical_sales/D/short,FlowState-r1.1,29.64594539344286,29.64594539344286,2.3308367057002344,2.3308367057002344,0.7504326015202561,0.6556324687627294,1.0474300598974176,12.383659662309565,5.444809031861711,1.6704071133525444,0.7150748888494296,0.5901059020086894,Sales,1
hierarchical_sales/W/short,FlowState-r1.1,437.5111029026872,437.5111029026872,8.690049680612855,8.690049680612855,0.7051757021096121,0.5148454852359658,0.44845643184952816,11.043459702369713,20.91676607180678,0.9602989615079262,0.39896443145639526,0.3363650389267718,Sales,1
hospital/M/short,FlowState-r1.1,1957.4588355669919,1957.4588355669919,16.36353972765323,16.36353972765323,0.74437363544445,0.18870636609677177,0.1713015998979591,9.323686869590068,44.24317840715099,0.16061301151088805,0.05940344905716918,0.046680543662433814,Healthcare,1
jena_weather/10T/short,FlowState-r1.1,780.2115707518562,780.2115707518562,5.473272321337745,5.473272321337745,0.2775795614205036,0.3780787137716162,0.4552668513938,4.066894111573193,27.93226755478073,0.17349439431840422,0.03399588180472134,0.027549205943691757,Nature,21
jena_weather/10T/medium,FlowState-r1.1,1430.7339318653894,1430.7339318653894,9.435519536886725,9.435519536886725,0.5859960273681665,0.741478591207612,0.5981370526009934,9.219933286547313,37.82504371266991,0.23213164695936558,0.05790562217595341,0.04771194345863314,Nature,21
jena_weather/10T/long,FlowState-r1.1,1354.094798787435,1354.094798787435,9.405177274835173,9.405177274835173,0.6118957062764383,0.79288590954648,0.5996555597889854,9.17752728389396,36.79802710455324,0.2251734257393483,0.05755188941633385,0.04758977870854997,Nature,21
jena_weather/D/short,FlowState-r1.1,356.8233367435516,356.8233367435516,9.431417216951886,9.431417216951886,0.9967967016292069,0.5989843455668028,0.43969016302199593,14.112515936314143,18.889768043667228,0.1137472775171724,0.0567925465827262,0.044910965661652875,Nature,21
jena_weather/H/short,FlowState-r1.1,1091.956836847036,1091.956836847036,8.258424466116386,8.258424466116386,0.5304386924037128,1.1396004250491016,0.5217299064419306,7.849252843925402,33.04477018904861,0.20256233251316866,0.05062361496751318,0.041416455825921565,Nature,21
jena_weather/H/medium,FlowState-r1.1,1414.8333875868057,1414.8333875868057,10.606650991288442,10.606650991288442,0.8112445925213712,2.1094796253792336,0.6351193367754044,11.055883158731206,37.61427106281346,0.2301683912742822,0.06490397730679902,0.05207389480094752,Nature,21
jena_weather/H/long,FlowState-r1.1,1349.9187065972221,1349.9187065972221,11.66680191282242,11.66680191282242,0.9666116556197651,2.06461807238681,0.5747081554585571,16.451576342916358,36.74123986200278,0.22122296777911385,0.0702470725903513,0.05757029792158968,Nature,21
kdd_cup_2018/D/short,FlowState-r1.1,2883.1174212672054,2883.1174212672054,20.96379679759708,20.96379679759708,1.1813600086741343,0.5278631109246168,0.458980997347976,17.035479022199613,53.694668462215176,1.202817589718716,0.4696113088617511,0.3825638291872041,Nature,1
kdd_cup_2018/H/short,FlowState-r1.1,4441.47685154161,4441.47685154161,22.776485279826446,22.776485279826446,0.9512020153841013,0.8479522495272036,0.5026460447811604,13.31600145893584,66.64440600336692,1.3949881165116842,0.47675308711815967,0.38645039605653964,Nature,1
kdd_cup_2018/H/medium,FlowState-r1.1,5202.689290588127,5202.689290588127,25.458616963676484,25.458616963676484,1.0545740815810614,0.9551854621436087,0.5687003430140803,14.247369337759727,72.12966997420774,1.509804628186757,0.5328949617090609,0.43162578148430897,Nature,1
kdd_cup_2018/H/long,FlowState-r1.1,4160.649216227934,4160.649216227934,24.376665976798456,24.376665976798456,1.0347222292234943,1.011666863768487,0.6223404605004181,13.516435091933223,64.50309462520332,1.5135032574152183,0.571975090112832,0.4572102373747373,Nature,1
m4_daily/D/short,FlowState-r1.1,401902.84281584795,401902.84281584795,185.74755754999086,185.74755754999086,3.522997039075566,0.04018086401973621,0.03227194502308626,48.523189849393226,633.9580765443784,0.09792900260428807,0.02869286427614407,0.023019483947443423,Econ/Fin,1
m4_hourly/H/short,FlowState-r1.1,1234841.5120557025,1234841.5120557025,216.7537121563526,216.7537121563526,0.7341721209547745,0.08803809846896864,0.08380702716236912,10.524051349913531,1111.2342291594975,0.1517080152397916,0.029591668978707766,0.023716032751841715,Econ/Fin,1
m4_monthly/M/short,FlowState-r1.1,1831284.5926835577,1831284.5926835577,553.901649601124,553.901649601124,0.9231846831529943,0.1597955104166435,0.13056359625124822,14.82942307107181,1353.2496416713207,0.2812517322738052,0.11511977809743389,0.09408253460100799,Econ/Fin,1
m4_quarterly/Q/short,FlowState-r1.1,1874544.4963158264,1874544.4963158264,559.9784285004934,559.9784285004934,1.1422491640328631,0.12177914538203428,0.10039086639974266,16.953513409290576,1369.1400572314822,0.22916993550478296,0.09373052790743878,0.07610107752880635,Econ/Fin,1
m4_weekly/W/short,FlowState-r1.1,231057.50064281124,231057.50064281124,251.8601253649293,251.8601253649293,1.9963062730080454,0.06104256755819866,0.06038675018058795,23.29007781713922,480.68440857054145,0.0875732446775809,0.04588500893694445,0.03627395217719889,Econ/Fin,1
m4_yearly/A/short,FlowState-r1.1,3323983.0471071466,3323983.0471071466,829.0107786091637,829.0107786091637,2.990569895741503,0.17296787356493876,0.1346197778825568,52.911443800347094,1823.1793787521694,0.2923552631228497,0.132935720498244,0.10999118170529777,Econ/Fin,1
restaurant/D/short,FlowState-r1.1,140.08006822894777,140.08006822894777,7.135844374500181,7.135844374500181,0.6861334271843667,0.662262267866889,0.39248753921139684,8.625522460960001,11.835542582786298,0.5446990923364606,0.32840809169979296,0.2598849281296545,Sales,1
saugeen/D/short,FlowState-r1.1,931.7861197916667,931.7861197916667,11.388044840494791,11.388044840494791,2.5295908414038117,0.2654854329427083,0.29971853892008465,40.98169642437607,30.52517190437536,0.9887176041064971,0.3688614906223498,0.30642001826210236,Nature,1
saugeen/M/short,FlowState-r1.1,407.56361607142856,407.56361607142856,12.21571277436756,12.21571277436756,0.7158703691414229,0.3390327408200219,0.3425343150184268,7.9901898198722465,20.188204874912195,0.6061104743922467,0.36675234428160386,0.28704733439913216,Nature,1
saugeen/W/short,FlowState-r1.1,888.5257873535156,888.5257873535156,14.130605125427246,14.130605125427246,1.1463315835290424,0.37444459795951845,0.38158645629882815,17.185238570105316,29.808149680138076,0.8997837843264017,0.42654406566708036,0.3461251604009651,Nature,1
solar/10T/short,FlowState-r1.1,24.66211265322646,24.66211265322646,2.117640808550981,2.117640808550981,0.9287901085571951,5.6709349299145115,1.2235352051540809,11.379260755420226,4.966096319366597,1.4446368688810374,0.6160214764964501,0.4759049305194654,Energy,1
solar/10T/medium,FlowState-r1.1,21.68119979483763,21.68119979483763,1.8794418304585114,1.8794418304585114,0.8213368024611923,3.948030292206356,1.2300935392563257,11.205299697887101,4.656307527949333,1.0332531430526921,0.4170556104487377,0.3320914339213908,Energy,1
solar/10T/long,FlowState-r1.1,20.469288030099985,20.469288030099985,1.8581602036227856,1.8581602036227856,0.8125172596409251,3.574314130822955,1.3257619563800211,10.918592191163759,4.524299728145781,0.9778550184658323,0.4016116060840004,0.3225571079912444,Energy,1
solar/D/short,FlowState-r1.1,111289.09708029198,111289.09708029198,257.70904686549574,257.70904686549574,1.0057995392307875,0.9710817555151426,0.4453487953130346,7.548119518173436,333.60020545600986,0.4819386917076512,0.3723018117384235,0.27439489849560605,Energy,1
solar/H/short,FlowState-r1.1,776.593984229935,776.593984229935,11.039652264214368,11.039652264214368,0.8514343790179513,4.331114244254236,1.1659223830032106,13.357574744514213,27.867435910573743,1.0272029686180193,0.4069252590981618,0.3308139131661982,Energy,1
solar/H/medium,FlowState-r1.1,791.1747158226885,791.1747158226885,10.867526237691987,10.867526237691987,0.8316482945272915,4.658330125965161,1.1542683057937682,11.50233161228408,28.127828139098984,1.0132300256627487,0.3914736621062123,0.3167292657671744,Energy,1
solar/H/long,FlowState-r1.1,736.4027549675588,736.4027549675588,11.691397102151765,11.691397102151765,0.8894328764507248,4.952025634892195,1.215671566194508,8.937329335166122,27.136741789823606,0.9408804294518032,0.40536210321643124,0.3094097699773962,Energy,1
solar/W/short,FlowState-r1.1,1297037.2700729927,1297037.2700729927,893.8112026687957,893.8112026687957,0.9852421878138513,0.20091895465433163,0.1798025343539941,10.203292945293688,1138.87544098246,0.23247294267758353,0.18244920647630777,0.13893127772716146,Energy,1
temperature_rain/D/short,FlowState-r1.1,183.035784870195,183.035784870195,5.739790158551816,5.739790158551816,1.3366877239330506,18.960441451038935,1.4798521434058074,29.977656589320667,13.529071840676838,1.5927294525167142,0.6757250567111854,0.5541995268610795,Nature,1
us_births/D/short,FlowState-r1.1,213428.89333333334,213428.89333333334,294.6863671875,294.6863671875,0.43354107575659157,0.02830586830774943,0.02785397211710612,6.611043401893777,461.9836505043586,0.04330721845368622,0.027624455681883164,0.022721743935648103,Healthcare,1
us_births/M/short,FlowState-r1.1,56526218.666666664,56526218.666666664,6097.212239583333,6097.212239583333,0.6884564844064888,0.018774597595135372,0.019039298097292583,9.560373978105865,7518.392026668113,0.023352074375081903,0.018937899645877953,0.015231363311142884,Healthcare,1
us_births/W/short,FlowState-r1.1,1963500.0,1963500.0,1053.5404575892858,1053.5404575892858,0.9581356887388214,0.014308188642774309,0.014337735516684396,14.87991293027259,1401.2494424619765,0.019021823782712045,0.014301708407470075,0.011676482420030629,Healthcare,1
